row_index,col_index,raw_value
2,0,11220957
2,0,11220957
2,1,11418232
2,1,11418232
2,2,11224802
2,2,11224802
2,3,11425896
2,3,11425896
2,4,11727558
2,4,11727558
2,5,11716171
2,5,11716171
2,6,11766611
2,6,11766611
2,7,11781599
2,7,11781599
3,0,11220994
3,0,11220994
3,1,11420833
3,1,11420833
3,2,11222540
3,2,11222540
3,3,11428551
3,3,11428551
3,4,11729116
3,4,11729116
3,5,11717662
3,5,11717662
3,6,11767951
3,6,11767951
3,7,11783029
3,7,11783029
4,0,11832975
4,0,11832975
4,1,12077392
4,1,12077392
4,2,11834582
4,2,11834582
4,3,12090066
4,3,12090066
4,4,12447867
4,4,12447867
4,5,12434599
4,5,12434599
4,6,12493431
4,6,12493431
4,7,12511189
4,7,12511189
5,0,11822783
5,0,11822783
5,1,12066582
5,1,12066582
5,2,11828361
5,2,11828361
5,3,12079145
5,3,12079145
5,4,12436147
5,4,12436147
5,5,12423091
5,5,12423091
5,6,12481741
5,6,12481741
5,7,12499388
5,7,12499388
6,0,11871186
6,0,11871186
6,1,12118757
6,1,12118757
6,2,11878901
6,2,11878901
6,3,12131609
6,3,12131609
6,4,12493443
6,4,12493443
6,5,12480006
6,5,12480006
6,6,12539416
6,6,12539416
6,7,12557369
6,7,12557369
7,0,11883469
7,0,11883469
7,1,12128788
7,1,12128788
7,2,11887475
7,2,11887475
7,3,12128497
7,3,12128497
7,4,12506080
7,4,12506080
7,5,12492780
7,5,12492780
7,6,12552502
7,6,12552502
7,7,12570405
7,7,12570405
0,0,11287771
0,0,11287771
0,1,11394561
0,1,11394561
0,2,11288346
0,2,11288346
0,3,11475641
0,3,11475641
0,4,11809715
0,4,11809715
0,5,11797594
0,5,11797594
0,6,11848424
0,6,11848424
0,7,11866151
0,7,11866151
1,0,11293109
1,0,11293109
1,1,11424144
1,1,11424144
1,2,11293745
1,2,11293745
1,3,11500185
1,3,11500185
1,4,11815810
1,4,11815810
1,5,11805146
1,5,11805146
1,6,11858662
1,6,11858662
1,7,11876491
1,7,11876491
2,0,11211308
2,0,11211308
2,1,11339001
2,1,11339001
2,2,11205825
2,2,11205825
2,3,11411458
2,3,11411458
2,4,11724886
2,4,11724886
2,5,11711969
2,5,11711969
2,6,11760984
2,6,11760984
2,7,11775153
2,7,11775153
3,0,11184933
3,0,11184933
3,1,11394177
3,1,11394177
3,2,11179429
3,2,11179429
3,3,11399551
3,3,11399551
3,4,11717835
3,4,11717835
3,5,11705724
3,5,11705724
3,6,11755697
3,6,11755697
3,7,11770807
3,7,11770807
4,0,11804446
4,0,11804446
4,1,12059188
4,1,12059188
4,2,11828204
4,2,11828204
4,3,12030606
4,3,12030606
4,4,12447757
4,4,12447757
4,5,12434426
4,5,12434426
4,6,12493292
4,6,12493292
4,7,12511037
4,7,12511037
5,0,11812778
5,0,11812778
5,1,11784949
5,1,11784949
5,2,11805658
5,2,11805658
5,3,12048999
5,3,12048999
5,4,12435939
5,4,12435939
5,5,12422742
5,5,12422742
5,6,12481411
5,6,12481411
5,7,12499094
5,7,12499094
6,0,11822627
6,0,11822627
6,1,11792958
6,1,11792958
6,2,11830386
6,2,11830386
6,3,12007299
6,3,12007299
6,4,12493101
6,4,12493101
6,5,12479723
6,5,12479723
6,6,12539252
6,6,12539252
6,7,12557155
6,7,12557155
7,0,11861998
7,0,11861998
7,1,12018587
7,1,12018587
7,2,11868248
7,2,11868248
7,3,12125320
7,3,12125320
7,4,12506030
7,4,12506030
7,5,12492628
7,5,12492628
7,6,12552279
7,6,12552279
7,7,12570277
7,7,12570277
0,0,11235827
0,0,11235827
0,1,11387428
0,1,11387428
0,2,11228791
0,2,11228791
0,3,11474933
0,3,11474933
0,4,11791427
0,4,11791427
0,5,11779739
0,5,11779739
0,6,11830392
0,6,11830392
0,7,11844422
0,7,11844422
1,0,11214476
1,0,11214476
1,1,11209740
1,1,11209740
1,2,11222343
1,2,11222343
1,3,11218215
1,3,11218215
1,4,11796069
1,4,11796069
1,5,11782395
1,5,11782395
1,6,11835506
1,6,11835506
1,7,11852449
1,7,11852449
2,0,11171503
2,0,11171503
2,1,11149961
2,1,11149961
2,2,11172959
2,2,11172959
2,3,11400251
2,3,11400251
2,4,11719883
2,4,11719883
2,5,11707422
2,5,11707422
2,6,11757584
2,6,11757584
2,7,11772488
2,7,11772488
3,0,11171045
3,0,11171045
3,1,11326200
3,1,11326200
3,2,11186645
3,2,11186645
3,3,11418477
3,3,11418477
3,4,11723461
3,4,11723461
3,5,11713800
3,5,11713800
3,6,11765258
3,6,11765258
3,7,11782333
3,7,11782333
4,0,11829240
4,0,11829240
4,1,12079482
4,1,12079482
4,2,11834304
4,2,11834304
4,3,12095390
4,3,12095390
4,4,12448332
4,4,12448332
4,5,12435129
4,5,12435129
4,6,12494039
4,6,12494039
4,7,12511763
4,7,12511763
5,0,11827135
5,0,11827135
5,1,11810762
