row_index,col_index,capacitance_pF
6,6,40305.783726304995
6,6,40305.783726304995
6,7,40187.929903170196
6,7,40187.929903170196
7,0,45074.638886322646
7,0,45074.638886322646
7,1,43191.44266386894
7,1,43191.44266386894
7,2,45076.19746861237
7,2,45076.19746861237
7,3,43259.02583982769
7,3,43259.02583982769
7,4,40520.712310436444
7,4,40520.712310436444
7,5,40605.10467001066
7,5,40605.10467001066
7,6,40221.30976459508
7,6,40221.30976459508
7,7,40103.7685557493
7,7,40103.7685557493
0,0,49684.90982591945
0,0,49684.90982591945
0,1,47928.1945118614
0,1,47928.1945118614
0,2,49741.840266158055
0,2,49741.840266158055
0,3,48035.072533511724
0,3,48035.072533511724
0,4,45312.68889367447
0,4,45312.68889367447
0,5,45400.126884678335
0,5,45400.126884678335
0,6,45013.6440315899
0,6,45013.6440315899
0,7,44895.00256232656
0,7,44895.00256232656
1,0,49725.098820427665
1,0,49725.098820427665
1,1,47927.0358418711
1,1,47927.0358418711
1,2,49737.70698661921
1,2,49737.70698661921
1,3,48014.73821769019
1,3,48014.73821769019
1,4,45279.19739128869
1,4,45279.19739128869
1,5,45366.86083228251
1,5,45366.86083228251
1,6,44981.89316205849
1,6,44981.89316205849
1,7,44836.89095913015
1,7,44836.89095913015
2,0,50511.2409587386
2,0,50511.2409587386
2,1,48717.06668624312
2,1,48717.06668624312
2,2,50524.230521483136
2,2,50524.230521483136
2,3,48821.34193514243
2,3,48821.34193514243
2,4,46055.031589960636
2,4,46055.031589960636
2,5,46142.90354988388
2,5,46142.90354988388
2,6,45749.86420250806
2,6,45749.86420250806
2,7,45631.02013045805
2,7,45631.02013045805
3,0,50493.49665598874
3,0,50493.49665598874
3,1,48695.94780957587
3,1,48695.94780957587
3,2,50512.683996097796
3,2,50512.683996097796
3,3,48797.52605333583
3,3,48797.52605333583
3,4,46043.977924256964
3,4,46043.977924256964
3,5,46131.42465461076
3,5,46131.42465461076
3,6,45739.30101020234
3,6,45739.30101020234
3,7,45621.24122974246
3,7,45621.24122974246
4,0,45466.06026958704
4,0,45466.06026958704
4,1,43576.63910695768
4,1,43576.63910695768
4,2,45470.17335697159
4,2,45470.17335697159
4,3,43643.412005355516
4,3,43643.412005355516
4,4,40901.91621888148
4,4,40901.91621888148
4,5,40985.67686714784
4,5,40985.67686714784
4,6,40601.73769470818
4,6,40601.73769470818
4,7,40483.93039160344
4,7,40483.93039160344
5,0,45525.15278305421
5,0,45525.15278305421
5,1,43644.49854015732
5,1,43644.49854015732
5,2,45535.32537285454
5,2,45535.32537285454
5,3,43707.15874710796
5,3,43707.15874710796
5,4,40977.596322324185
5,4,40977.596322324185
5,5,41061.58966864641
5,5,41061.58966864641
5,6,40678.247845037324
5,6,40678.247845037324
5,7,40561.40557422367
5,7,40561.40557422367
6,0,45143.72740001044
6,0,45143.72740001044
6,1,43266.92540316132
6,1,43266.92540316132
6,2,45152.20217703748
6,2,45152.20217703748
6,3,43329.27553384527
6,3,43329.27553384527
6,4,40604.31163812407
6,4,40604.31163812407
6,5,40688.41771987809
6,5,40688.41771987809
6,6,40304.92230596618
6,6,40304.92230596618
6,7,40187.046657308885
6,7,40187.046657308885
7,0,45057.9709137307
7,0,45057.9709137307
7,1,43182.89362087772
7,1,43182.89362087772
7,2,45067.196820226025
7,2,45067.196820226025
7,3,43247.72000403818
7,3,43247.72000403818
7,4,40520.7511910759
7,4,40520.7511910759
7,5,40605.06566789928
7,5,40605.06566789928
7,6,40221.42511629043
7,6,40221.42511629043
7,7,40103.14328947476
7,7,40103.14328947476
0,0,49820.95646807998
0,0,49820.95646807998
0,1,48019.29392152714
0,1,48019.29392152714
0,2,49895.161112419955
0,2,49895.161112419955
0,3,48173.05404935056
0,3,48173.05404935056
0,4,45429.090661195936
0,4,45429.090661195936
0,5,45521.18655129533
0,5,45521.18655129533
0,6,45133.815244141806
0,6,45133.815244141806
0,7,45008.94791193851
0,7,45008.94791193851
1,0,49879.908663923045
1,0,49879.908663923045
1,1,47964.401182790396
1,1,47964.401182790396
1,2,49876.36875915763
1,2,49876.36875915763
1,3,48069.54158650828
1,3,48069.54158650828
1,4,45297.97961218137
1,4,45297.97961218137
1,5,45361.78696209456
1,5,45361.78696209456
1,6,44925.76121186188
1,6,44925.76121186188
1,7,44902.3793377774
1,7,44902.3793377774
2,0,50658.26982353275
2,0,50658.26982353275
2,1,48791.086766184126
2,1,48791.086766184126
2,2,50656.00535021924
2,2,50656.00535021924
2,3,48880.408494240546
2,3,48880.408494240546
2,4,46103.39888756707
2,4,46103.39888756707
2,5,46189.74527798085
2,5,46189.74527798085
2,6,45793.81181331963
2,6,45793.81181331963
2,7,45668.019462247175
2,7,45668.019462247175
3,0,50559.661553027334
3,0,50559.661553027334
3,1,48739.985909946496
3,1,48739.985909946496
3,2,50581.787596726164
3,2,50581.787596726164
3,3,48918.87730920163
3,3,48918.87730920163
3,4,46218.41817937895
3,4,46218.41817937895
3,5,46426.35441933246
3,5,46426.35441933246
3,6,46436.87827575591
3,6,46436.87827575591
3,7,46817.54569611174
3,7,46817.54569611174
4,0,45569.36425959768
4,0,45569.36425959768
4,1,43765.34203491065
4,1,43765.34203491065
4,2,45578.10605762131
4,2,45578.10605762131
4,3,43686.14337899684
4,3,43686.14337899684
4,4,40901.351053356535
4,4,40901.351053356535
4,5,40986.09216362468
4,5,40986.09216362468
4,6,40601.815689397554
4,6,40601.815689397554
4,7,40484.6034131801
4,7,40484.6034131801
5,0,45638.61004254898
5,0,45638.61004254898
5,1,43788.40911458875
5,1,43788.40911458875
5,2,45549.6406911952
5,2,45549.6406911952
5,3,43730.317872788604
5,3,43730.317872788604
5,4,40977.477702435746
5,4,40977.477702435746
5,5,41061.80780876139
5,5,41061.80780876139
5,6,40678.81491073817
5,6,40678.81491073817
5,7,40561.483452726716
5,7,40561.483452726716
6,0,45155.06066601697
6,0,45155.06066601697
6,1,43274.669789933396
6,1,43274.669789933396
6,2,45161.502789570186
6,2,45161.502789570186
6,3,43354.91742294232
6,3,43354.91742294232
6,4,40604.31163812407
