timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
256.856,339.427658,347.332203,348.777120,351.145825,397.017653,349.609830,350.749278,355.593901
257.276,339.427341,347.320714,348.764737,351.134877,396.822713,349.605688,350.750333,355.587732
257.697,339.425330,343.213826,344.091755,351.156885,398.566354,349.625515,350.769088,355.609464
258.116,339.427341,343.209363,344.083442,351.149438,399.448693,349.623968,350.767811,355.605559
258.537,339.427341,347.337127,348.781963,351.146659,397.095428,349.610548,350.751720,355.586657
258.957,339.427341,343.202425,344.077613,351.136266,399.450969,349.607400,350.745783,355.558420
259.377,339.425277,347.314751,344.061044,351.120317,397.011482,349.591219,350.731579,355.538616
259.797,339.425647,347.347249,344.077289,351.160887,399.464291,349.627227,350.767700,355.585978
260.217,339.427658,347.329796,348.777120,351.139879,399.443606,349.605191,350.744950,355.555930
260.638,339.427341,347.354963,348.795833,351.154829,399.459270,349.621538,350.761042,355.586318
261.061,339.427341,347.333024,348.773542,351.134154,399.447555,349.603479,350.748446,355.566172
261.479,339.427341,347.340027,348.786201,351.143046,396.797452,349.609830,350.752053,355.570416
261.898,339.427341,343.196994,344.073457,351.129153,397.026278,349.586581,350.727140,355.414623
262.318,339.427658,347.305342,348.716256,351.113204,397.056339,349.580175,350.716544,355.486002
262.738,339.427341,343.166667,344.033036,351.082865,398.544935,349.545168,350.683259,355.329583
263.158,339.425277,343.079633,343.933602,350.975155,396.766094,349.408502,350.543069,355.359038
263.578,339.427711,347.230028,348.673507,351.041031,396.762714,349.502769,350.644488,355.382673
263.999,339.425277,347.291339,348.726986,351.091144,399.426470,349.554002,350.688529,355.447991
264.418,339.425647,347.323504,348.761985,351.125985,398.567021,349.592213,350.737516,355.504896
264.838,339.427341,347.305014,348.745475,351.105369,397.026677,349.574488,350.711662,355.490414
265.259,339.427341,347.301458,348.746466,351.107925,397.024288,349.578463,350.723645,355.492507
265.679,339.427711,343.176991,344.050628,351.108314,396.818934,349.572776,350.721093,355.487925
266.099,339.425277,347.349437,348.790494,351.153773,396.828614,349.618998,350.759155,355.533863
266.519,339.425277,347.331875,348.773983,351.139879,399.447421,349.607069,350.746171,355.503482
266.940,339.425647,347.319237,348.758738,351.124985,397.057467,349.589121,350.729748,355.491093
267.359,339.427711,343.180755,344.053434,351.112815,397.028866,349.573438,350.709831,355.424180
267.779,339.427658,347.258412,344.013016,351.076087,397.019179,349.537439,350.677768,355.359717
268.199,339.425277,347.232489,348.673507,351.046586,398.096997,349.498960,350.635171,355.358699
268.620,339.425330,347.358137,348.798915,351.161609,398.558480,349.624355,350.768144,355.539860
269.039,339.427658,347.346592,348.786916,351.148771,396.827819,349.609830,350.749278,355.510157
269.460,339.427658,347.318307,348.761269,351.124596,398.549940,349.586912,350.729748,355.452968
269.880,339.427341,347.266451,344.013016,351.066642,397.046650,349.521428,350.664400,355.347731
270.300,339.425277,347.241293,348.685555,351.055586,398.534460,349.522919,350.660462,355.317712
270.720,339.428029,347.222700,348.672131,351.043086,396.784988,349.484498,350.606111,355.335180
271.140,339.425647,347.343802,348.789338,351.151883,396.819331,349.612757,350.755548,355.493582
271.560,339.427711,347.313603,348.759894,351.118428,398.545736,349.579512,350.720871,355.326022
271.981,339.425330,347.228989,348.674662,351.042420,398.534861,349.514859,350.647317,355.288431
272.403,339.427658,347.260490,348.700300,351.070142,397.008894,349.530372,350.668393,355.271475
272.820,339.427711,343.174894,344.046527,351.107092,399.428009,349.563168,350.708777,355.228241
273.241,339.428029,343.089255,348.637641,351.000814,398.088870,349.436094,350.584929,355.268479
273.661,339.427658,347.214224,348.665805,351.034976,398.343976,349.485878,350.637389,355.320708
274.081,339.427711,343.136398,344.004329,351.055253,399.384437,349.528992,350.673940,355.309459
274.501,339.425277,347.279743,348.716916,351.082643,398.540999,349.555051,350.690249,355.344056
274.921,339.425647,343.139785,344.014689,351.063420,398.520116,349.527556,350.669281,355.303975
275.343,339.427711,347.257701,348.699970,351.070142,397.036564,349.524686,350.651255,355.323930
275.761,339.427658,347.232489,348.663715,351.037531,396.799242,349.509835,350.646596,355.275205
276.182,339.428029,347.235660,348.684125,351.051753,396.924576,349.503487,350.647095,355.254011
276.603,339.427658,347.299708,348.742229,351.106091,398.547738,349.571395,350.714103,355.284927
277.022,339.427711,343.132259,343.994347,351.039809,398.545336,349.495372,350.635337,355.276449
277.442,339.427658,347.226965,348.669711,351.042753,396.797253,349.487976,350.607165,355.227055
277.862,339.425277,347.268530,348.700630,351.065142,398.532592,349.513700,350.641271,355.312794
278.282,339.424959,347.237028,348.680934,351.044309,396.996885,349.498132,350.625465,355.295327
278.702,339.425647,347.297301,348.738322,351.096867,397.014269,349.554002,350.692467,355.357455
